date,temperature,humidity,rainfall,state,city,month,year
2021-10-15 00:00:00,23.2,67,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 01:00:00,23.0,67,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 02:00:00,22.7,67,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 03:00:00,22.5,67,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 04:00:00,22.3,68,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 05:00:00,22.0,68,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 06:00:00,21.8,69,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 07:00:00,23.7,65,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 08:00:00,25.5,60,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 09:00:00,27.4,56,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 10:00:00,29.5,52,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 11:00:00,31.5,48,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 12:00:00,33.6,44,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 13:00:00,33.7,43,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 14:00:00,33.8,43,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 15:00:00,33.9,42,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 16:00:00,31.8,47,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 17:00:00,29.6,51,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 18:00:00,27.5,55,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 19:00:00,26.6,57,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 20:00:00,25.6,59,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 21:00:00,24.7,61,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 22:00:00,23.9,62,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 23:00:00,23.1,63,0.0,Andhra Pradesh,Amaravati,10,2021
2021-10-15 00:00:00,27.7,82,0.04,Andhra Pradesh,Visakhapatnam,10,2021
2021-10-15 01:00:00,27.5,83,0.02,Andhra Pradesh,Visakhapatnam,10,2021
2021-10-15 02:00:00,27.3,83,0.03,Andhra Pradesh,Visakhapatnam,10,2021
2021-10-15 03:00:00,27.1,83,0.04,Andhra Pradesh,Visakhapatnam,10,2021
2021-10-15 04:00:00,27.2,81,0.02,Andhra Pradesh,Visakhapatnam,10,2021
2021-10-15 05:00:00,27.4,80,0.03,Andhra Pradesh,Visakhapatnam,10,2021
2021-10-15 06:00:00,27.5,78,0.04,Andhra Pradesh,Visakhapatnam,10,2021
2021-10-15 07:00:00,28.0,75,0.02,Andhra Pradesh,Visakhapatnam,10,2021
2021-10-15 08:00:00,28.5,72,0.03,Andhra Pradesh,Visakhapatnam,10,2021
2021-10-15 09:00:00,29.0,69,0.04,Andhra Pradesh,Visakhapatnam,10,2021
2021-10-15 10:00:00,29.8,67,0.02,Andhra Pradesh,Visakhapatnam,10,2021
2021-10-15 11:00:00,30.5,65,0.23,Andhra Pradesh,Visakhapatnam,10,2021
2021-10-15 12:00:00,31.3,63,0.31,Andhra Pradesh,Visakhapatnam,10,2021
2021-10-15 13:00:00,30.9,65,0.16,Andhra Pradesh,Visakhapatnam,10,2021
2021-10-15 14:00:00,30.5,67,0.27,Andhra Pradesh,Visakhapatnam,10,2021
2021-10-15 15:00:00,30.1,70,0.36,Andhra Pradesh,Visakhapatnam,10,2021
2021-10-15 16:00:00,29.7,72,0.18,Andhra Pradesh,Visakhapatnam,10,2021
2021-10-15 17:00:00,29.3,74,0.03,Andhra Pradesh,Visakhapatnam,10,2021
2021-10-15 18:00:00,28.9,76,0.04,Andhra Pradesh,Visakhapatnam,10,2021
2021-10-15 19:00:00,28.8,76,0.02,Andhra Pradesh,Visakhapatnam,10,2021
2021-10-15 20:00:00,28.6,77,0.03,Andhra Pradesh,Visakhapatnam,10,2021
2021-10-15 21:00:00,28.5,77,0.04,Andhra Pradesh,Visakhapatnam,10,2021
